attribute,fisher_score,mutual_information_bits,fisher_score_norm,mutual_information_bits_norm,combined_information_value
cattr_hu2,2.0022793376749695,1.1461005952069436,1.0,0.834346662497082,0.925455998123687
cattr_hu1,0.9945158089768545,1.2442199014448703,0.41705472339445326,0.9057762700101654,0.6369794193715237
cattr_color_yellow_ratio,0.695629103799867,1.3736503622808607,0.2441623850021268,1.0,0.5842893117511698
cattr_color_red_ratio,0.7375702155271705,1.2109136707245605,0.26842340683986105,0.8815297574805818,0.5443212646281854
cattr_lbp_energy,0.8001151217092077,1.1463465776317878,0.30460278483507097,0.8345257345751003,0.5430681122180842
cattr_color_orange_ratio,0.6237806240020117,1.2432605570299984,0.2026013136428998,0.9050778794726497,0.5187157682662873
cattr_centroid_x,0.6169974767050682,1.2488977087356612,0.1986775720461175,0.9091816542471146,0.5184044090365663
cattr_sat_mean,0.6177092881885653,1.2219418623348135,0.19908932255139156,0.8895581407672439,0.5098002907485252
cattr_hu3,0.5258017697499607,1.200131202788952,0.14592501144803624,0.8736802579050822,0.47341487235370694
cattr_centroid_y,0.5882726980061656,1.1144173947595193,0.18206159658439683,0.8112816953719568,0.46521064103879883
cattr_lbp_entropy,0.5524897254987459,1.1484182997963341,0.16136277765308074,0.8360339219722966,0.4649647925967279
cattr_fg_area_ratio,0.46385306680388844,1.1675446401463345,0.11009050985528128,0.8499576545866443,0.44303072498439466
cattr_color_gray_ratio,0.4490268943235556,1.17273394251542,0.10151424471824612,0.8537354007377601,0.44001376492702743
cattr_symmetry_lr,0.3715702940689324,1.2263736872008195,0.056709131242183256,0.8927844529262181,0.43294302599999895
cattr_edge_density,0.5645521641132827,1.0250281790699145,0.16834034869474424,0.7462074827890841,0.4283805590371972
cattr_color_black_ratio,0.3856767481040034,1.1969812214295916,0.06486907205689124,0.8713871115223811,0.4278021898163617
cattr_bbox_ratio,0.39686447976816497,1.15971041603331,0.07134066498899365,0.8442544390318387,0.4191518633082739
cattr_texture_entropy,0.4421049406652142,1.1131167342045056,0.0975102099669336,0.8103348310237001,0.4182812894424785
cattr_color_white_ratio,0.41843799715170293,1.1306468848189501,0.08381996166958272,0.8230965578035313,0.41649442992985963
cattr_upper_lower_mass_ratio,0.3700319869663357,1.1708658046632436,0.055819290685454666,0.8523754201317241,0.41426954893627593
cattr_val_mean,0.34390464820889266,1.1823615052125138,0.04070581586204995,0.8607441439823714,0.4097230635161946
cattr_grad_anisotropy,0.4013103872688361,1.12389907276496,0.07391241987388172,0.8181842364157323,0.4088347373177145
cattr_color_blue_ratio,0.49690051854439005,0.9887072278303478,0.12920695468322874,0.7197662920487723,0.3949586564977233
cattr_color_green_ratio,0.4318925729532735,1.0448992370084218,0.09160282063292428,0.7606733603399862,0.39268456350110215
cattr_color_magenta_ratio,0.31707816755439194,0.8928172133903248,0.025187919311761228,0.6499595806227267,0.3063351669016957
cattr_color_cyan_ratio,0.2735346867769334,0.8466094250627625,0.0,0.6163208981774811,0.2773444041798665
cattr_fg_aspect_ratio,0.8132674935063011,0.18001708535215943,0.31221083255354753,0.13105014951057292,0.23068852518420896
cattr_color_green_present,0.5680459125778139,0.0,0.17036132296802184,0.0,0.09369872763241202
